what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978558077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978558132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978559280
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358978562044
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358978562134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978563154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978564635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358978568825
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1358978570045
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1358978570065
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1358978570255
started,bundle,org.python.pydev.core,2.4.0.2012020116,"org.python.pydev.core",1358978570285
started,bundle,org.python.pydev.debug,2.4.0.2012020116,"org.python.pydev.debug",1358978570285
started,bundle,com.python.pydev.analysis,2.4.0.2012020116,"com.python.pydev.analysis",1358978570715
started,bundle,org.python.pydev,2.4.0.2012020116,"org.python.pydev",1358978570735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978570875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978576355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978579116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978581556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978583257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978602418
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358978604378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978604798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978605818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358978605828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978607418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978608539
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358978608679
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1358978608879
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1358978609009
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1358978609009
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1358978609009
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1358978609009
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1358978609009
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1358978609009
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1358978609009
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1358978609009
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1358978609009
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1358978609019
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1358978609019
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1358978609019
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1358978609019
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1358978609019
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1358978609019
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1358978609019
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1358978609019
stopped,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1358978609039
